component_1,table_type,component_2,component_3,component_4,component_5,value
IMPEXP,ALL_REG,,,,,
MINRNW,ALL_REG,,,,,
REG1,ALL_REG,,,,,
REG1' 'REG1,REG,,,,,
MEuro05,CUR,,,,,
2005 '2005,DATAYEAR,,,,,
2006 '2006,DATAYEAR,,,,,
2005 '2005,MODLYEAR,,,,,
2006 '2006,MODLYEAR,,,,,
REG1,TS_GROUP,ANNUAL,ANNUAL,,,
Mt,UNITS,,,,,
PJ,UNITS,,,,,
PJ,UNITS_COM,,,,,
PJA,UNITS_CAP,,,,,
Mt,UNITS_ACT,,,,,
PJ,UNITS_ACT,,,,,
MEuro05,UNITS_MONY,,,,,
COA,COM_GRP,,,,,
TPSCOA,COM_GRP,,,,,
COA,COM,,,,,
TPSCOA,COM,,,,,
REG1,COM_TMAP,DEM,TPSCOA,,,
REG1,COM_TMAP,NRG,COA,,,
REG1,COM_UNIT,COA,PJ,,,
REG1,COM_UNIT,TPSCOA,PJ,,,
DTPSCOA,PRC,,,,,
EXPCOA1,PRC,,,,,
IMPCOA1,PRC,,,,,
IMPDEMZ,PRC,,,,,
IMPMATZ,PRC,,,,,
IMPNRGZ,PRC,,,,,
MINCOA1,PRC,,,,,
MINCOA2,PRC,,,,,
MINCOA3,PRC,,,,,
REG1,PRC_MAP,DMD,DTPSCOA,,,
REG1,PRC_MAP,IRE,EXPCOA1,,,
REG1,PRC_MAP,IRE,IMPCOA1,,,
REG1,PRC_MAP,IRE,IMPDEMZ,,,
REG1,PRC_MAP,IRE,IMPMATZ,,,
REG1,PRC_MAP,IRE,IMPNRGZ,,,
REG1,PRC_MAP,IRE,MINCOA1,,,
REG1,PRC_MAP,IRE,MINCOA2,,,
REG1,PRC_MAP,IRE,MINCOA3,,,
REG1,PRC_TSL,DTPSCOA,ANNUAL,,,
REG1,PRC_TSL,EXPCOA1,ANNUAL,,,
REG1,PRC_TSL,IMPCOA1,ANNUAL,,,
REG1,PRC_TSL,IMPDEMZ,ANNUAL,,,
REG1,PRC_TSL,IMPMATZ,ANNUAL,,,
REG1,PRC_TSL,IMPNRGZ,ANNUAL,,,
REG1,PRC_TSL,MINCOA1,ANNUAL,,,
REG1,PRC_TSL,MINCOA2,ANNUAL,,,
REG1,PRC_TSL,MINCOA3,ANNUAL,,,
REG1,PRC_ACTUNT,DTPSCOA,TPSCOA,PJ,,
REG1,PRC_ACTUNT,EXPCOA1,COA,PJ,,
REG1,PRC_ACTUNT,IMPCOA1,COA,PJ,,
REG1,PRC_ACTUNT,IMPDEMZ,DEM,PJ,,
REG1,PRC_ACTUNT,IMPMATZ,MAT,Mt,,
REG1,PRC_ACTUNT,IMPNRGZ,NRG,PJ,,
REG1,PRC_ACTUNT,MINCOA1,COA,PJ,,
REG1,PRC_ACTUNT,MINCOA2,COA,PJ,,
REG1,PRC_ACTUNT,MINCOA3,COA,PJ,,
REG1,TOP,DTPSCOA,COA,IN,,
REG1,TOP,DTPSCOA,TPSCOA,OUT,,
REG1,TOP,EXPCOA1,COA,IN,,
REG1,TOP,IMPCOA1,COA,OUT,,
REG1,TOP,MINCOA1,COA,OUT,,
REG1,TOP,MINCOA2,COA,OUT,,
REG1,TOP,MINCOA3,COA,OUT,,
IMPEXP,TOP_IRE,COA,REG1,COA,IMPCOA1,
IMPEXP,TOP_IRE,COA,REG1,COA,IMPNRGZ,
IMPEXP,TOP_IRE,TPSCOA,REG1,TPSCOA,IMPDEMZ,
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA1,
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA2,
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA3,
REG1,TOP_IRE,COA,IMPEXP,COA,EXPCOA1,
REG1,PRC_DESC,DTPSCOA' 'Demand Technology Total Primary Supply - COA,,,,
REG1,PRC_DESC,EXPCOA1' 'Export of Solid Fuels Step 1,,,,
REG1,PRC_DESC,IMPCOA1' 'Import of Solid Fuels Step 1,,,,
REG1,PRC_DESC,IMPDEMZ' 'Dummy Import of DEM,,,,
REG1,PRC_DESC,IMPMATZ' 'Dummy Import of MAT,,,,
REG1,PRC_DESC,IMPNRGZ' 'Dummy Import of NRG,,,,
REG1,PRC_DESC,MINCOA1' 'Domestic Supply of Solid Fuels Step 1,,,,
REG1,PRC_DESC,MINCOA2' 'Domestic Supply of Solid Fuels Step 2,,,,
REG1,PRC_DESC,MINCOA3' 'Domestic Supply of Solid Fuels Step 3,,,,
REG1,COM_DESC,COA' 'Solid Fuels,,,,
REG1,COM_DESC,TPSCOA' 'Demand Total Primary Supply - COA,,,,
REG1,ACT_CUM,MINCOA1,2005,EOH,UP,80000.0
REG1,ACT_CUM,MINCOA2,2005,EOH,UP,160000.0
REG1,ACT_CUM,MINCOA3,BOH,EOH,UP,320000.0
2005,B,,,,,2005.0
2006,B,,,,,2006.0
2005,E,,,,,2005.0
2006,E,,,,,2007.0
REG1,NCAP_AFA,2005,DTPSCOA,UP,,0.95
REG1,NCAP_FOM,2005,DTPSCOA,MEuro05,,0.2
