component_1,table_type,component_2,component_3,component_4,component_5,value,component_6
IMPEXP,ALL_REG,,,,,,
MINRNW,ALL_REG,,,,,,
REG1,ALL_REG,,,,,,
REG1' 'REG1,REG,,,,,,
MEuro05,CUR,,,,,,
2005 '2005,DATAYEAR,,,,,,
2006 '2006,DATAYEAR,,,,,,
2010 '2010,DATAYEAR,,,,,,
2015 '2015,DATAYEAR,,,,,,
2020 '2020,DATAYEAR,,,,,,
2025 '2025,DATAYEAR,,,,,,
2030 '2030,DATAYEAR,,,,,,
2035 '2035,DATAYEAR,,,,,,
2005 '2005,MODLYEAR,,,,,,
2006 '2006,MODLYEAR,,,,,,
2010 '2010,MODLYEAR,,,,,,
2015 '2015,MODLYEAR,,,,,,
2020 '2020,MODLYEAR,,,,,,
REG1,TS_GROUP,ANNUAL,ANNUAL,,,,
Mt,UNITS,,,,,,
PJ,UNITS,,,,,,
kt,UNITS_COM,,,,,,
PJ,UNITS_COM,,,,,,
GW,UNITS_CAP,,,,,,
PJA,UNITS_CAP,,,,,,
Mt,UNITS_ACT,,,,,,
PJ,UNITS_ACT,,,,,,
MEuro05,UNITS_MONY,,,,,,
COA,COM_GRP,,,,,,
DROT,COM_GRP,,,,,,
DTD1,COM_GRP,,,,,,
ELC,COM_GRP,,,,,,
ELCCO2,COM_GRP,,,,,,
ELCCOA,COM_GRP,,,,,,
ELCGAS,COM_GRP,,,,,,
ELCNUC,COM_GRP,,,,,,
ELCOIL,COM_GRP,,,,,,
ELCRNW,COM_GRP,,,,,,
GAS,COM_GRP,,,,,,
NUC,COM_GRP,,,,,,
OIL,COM_GRP,,,,,,
RNW,COM_GRP,,,,,,
RSDCO2,COM_GRP,,,,,,
RSDGAS,COM_GRP,,,,,,
TPSCOA,COM_GRP,,,,,,
TPSELC,COM_GRP,,,,,,
TRACO2,COM_GRP,,,,,,
TRAOIL,COM_GRP,,,,,,
COA,COM,,,,,,
DROT,COM,,,,,,
DTD1,COM,,,,,,
ELC,COM,,,,,,
ELCCO2,COM,,,,,,
ELCCOA,COM,,,,,,
ELCGAS,COM,,,,,,
ELCNUC,COM,,,,,,
ELCOIL,COM,,,,,,
ELCRNW,COM,,,,,,
GAS,COM,,,,,,
NUC,COM,,,,,,
OIL,COM,,,,,,
RNW,COM,,,,,,
RSDCO2,COM,,,,,,
RSDGAS,COM,,,,,,
TPSCOA,COM,,,,,,
TPSELC,COM,,,,,,
TRACO2,COM,,,,,,
TRAOIL,COM,,,,,,
REG1,COM_TMAP,DEM,DROT,,,,
REG1,COM_TMAP,DEM,DTD1,,,,
REG1,COM_TMAP,DEM,TPSCOA,,,,
REG1,COM_TMAP,DEM,TPSELC,,,,
REG1,COM_TMAP,ENV,ELCCO2,,,,
REG1,COM_TMAP,ENV,RSDCO2,,,,
REG1,COM_TMAP,ENV,TRACO2,,,,
REG1,COM_TMAP,NRG,COA,,,,
REG1,COM_TMAP,NRG,ELC,,,,
REG1,COM_TMAP,NRG,ELCCOA,,,,
REG1,COM_TMAP,NRG,ELCGAS,,,,
REG1,COM_TMAP,NRG,ELCNUC,,,,
REG1,COM_TMAP,NRG,ELCOIL,,,,
REG1,COM_TMAP,NRG,ELCRNW,,,,
REG1,COM_TMAP,NRG,GAS,,,,
REG1,COM_TMAP,NRG,NUC,,,,
REG1,COM_TMAP,NRG,OIL,,,,
REG1,COM_TMAP,NRG,RNW,,,,
REG1,COM_TMAP,NRG,RSDGAS,,,,
REG1,COM_TMAP,NRG,TRAOIL,,,,
REG1,NRG_TMAP,ELC,ELC,,,,
REG1,COM_UNIT,COA,PJ,,,,
REG1,COM_UNIT,DROT,PJ,,,,
REG1,COM_UNIT,DTD1,PJ,,,,
REG1,COM_UNIT,ELC,PJ,,,,
REG1,COM_UNIT,ELCCO2,kt,,,,
REG1,COM_UNIT,ELCCOA,PJ,,,,
REG1,COM_UNIT,ELCGAS,PJ,,,,
REG1,COM_UNIT,ELCNUC,PJ,,,,
REG1,COM_UNIT,ELCOIL,PJ,,,,
REG1,COM_UNIT,ELCRNW,PJ,,,,
REG1,COM_UNIT,GAS,PJ,,,,
REG1,COM_UNIT,NUC,PJ,,,,
REG1,COM_UNIT,OIL,PJ,,,,
REG1,COM_UNIT,RNW,PJ,,,,
REG1,COM_UNIT,RSDCO2,kt,,,,
REG1,COM_UNIT,RSDGAS,PJ,,,,
REG1,COM_UNIT,TPSCOA,PJ,,,,
REG1,COM_UNIT,TPSELC,PJ,,,,
REG1,COM_UNIT,TRACO2,kt,,,,
REG1,COM_UNIT,TRAOIL,PJ,,,,
DTPSCOA,PRC,,,,,,
DTPSELC,PRC,,,,,,
ELCRERNW00,PRC,,,,,,
ELCTECOA00,PRC,,,,,,
ELCTEGAS00,PRC,,,,,,
ELCTENUC00,PRC,,,,,,
ELCTEOIL00,PRC,,,,,,
ELCTNCOA00,PRC,,,,,,
ELCTNGAS00,PRC,,,,,,
ELCTNOIL00,PRC,,,,,,
EXPCOA1,PRC,,,,,,
EXPGAS1,PRC,,,,,,
EXPOIL1,PRC,,,,,,
FTE-ELCCOA,PRC,,,,,,
FTE-ELCGAS,PRC,,,,,,
FTE-ELCNUC,PRC,,,,,,
FTE-ELCOIL,PRC,,,,,,
FTE-ELCRNW,PRC,,,,,,
FTE-RSDGAS,PRC,,,,,,
FTE-TRAOIL,PRC,,,,,,
IMPCOA1,PRC,,,,,,
IMPDEMZ,PRC,,,,,,
IMPGAS1,PRC,,,,,,
IMPMATZ,PRC,,,,,,
IMPNRGZ,PRC,,,,,,
IMPOIL1,PRC,,,,,,
MINCOA1,PRC,,,,,,
MINCOA2,PRC,,,,,,
MINCOA3,PRC,,,,,,
MINGAS1,PRC,,,,,,
MINGAS2,PRC,,,,,,
MINGAS3,PRC,,,,,,
MINNUC1,PRC,,,,,,
MINOIL1,PRC,,,,,,
MINOIL2,PRC,,,,,,
MINOIL3,PRC,,,,,,
MINRNW1,PRC,,,,,,
ROTEGAS,PRC,,,,,,
ROTNGAS,PRC,,,,,,
TOTEOIL,PRC,,,,,,
TOTNOIL,PRC,,,,,,
REG1,PRC_MAP,DMD,DTPSCOA,,,,
REG1,PRC_MAP,DMD,DTPSELC,,,,
REG1,PRC_MAP,DMD,ROTEGAS,,,,
REG1,PRC_MAP,DMD,ROTNGAS,,,,
REG1,PRC_MAP,DMD,TOTEOIL,,,,
REG1,PRC_MAP,DMD,TOTNOIL,,,,
REG1,PRC_MAP,ELE,ELCRERNW00,,,,
REG1,PRC_MAP,ELE,ELCTECOA00,,,,
REG1,PRC_MAP,ELE,ELCTEGAS00,,,,
REG1,PRC_MAP,ELE,ELCTENUC00,,,,
REG1,PRC_MAP,ELE,ELCTEOIL00,,,,
REG1,PRC_MAP,ELE,ELCTNCOA00,,,,
REG1,PRC_MAP,ELE,ELCTNGAS00,,,,
REG1,PRC_MAP,ELE,ELCTNOIL00,,,,
REG1,PRC_MAP,IRE,EXPCOA1,,,,
REG1,PRC_MAP,IRE,EXPGAS1,,,,
REG1,PRC_MAP,IRE,EXPOIL1,,,,
REG1,PRC_MAP,IRE,IMPCOA1,,,,
REG1,PRC_MAP,IRE,IMPDEMZ,,,,
REG1,PRC_MAP,IRE,IMPGAS1,,,,
REG1,PRC_MAP,IRE,IMPMATZ,,,,
REG1,PRC_MAP,IRE,IMPNRGZ,,,,
REG1,PRC_MAP,IRE,IMPOIL1,,,,
REG1,PRC_MAP,IRE,MINCOA1,,,,
REG1,PRC_MAP,IRE,MINCOA2,,,,
REG1,PRC_MAP,IRE,MINCOA3,,,,
REG1,PRC_MAP,IRE,MINGAS1,,,,
REG1,PRC_MAP,IRE,MINGAS2,,,,
REG1,PRC_MAP,IRE,MINGAS3,,,,
REG1,PRC_MAP,IRE,MINNUC1,,,,
REG1,PRC_MAP,IRE,MINOIL1,,,,
REG1,PRC_MAP,IRE,MINOIL2,,,,
REG1,PRC_MAP,IRE,MINOIL3,,,,
REG1,PRC_MAP,IRE,MINRNW1,,,,
REG1,PRC_MAP,PRE,FTE-ELCCOA,,,,
REG1,PRC_MAP,PRE,FTE-ELCGAS,,,,
REG1,PRC_MAP,PRE,FTE-ELCNUC,,,,
REG1,PRC_MAP,PRE,FTE-ELCOIL,,,,
REG1,PRC_MAP,PRE,FTE-ELCRNW,,,,
REG1,PRC_MAP,PRE,FTE-RSDGAS,,,,
REG1,PRC_MAP,PRE,FTE-TRAOIL,,,,
REG1,PRC_TSL,DTPSCOA,ANNUAL,,,,
REG1,PRC_TSL,DTPSELC,ANNUAL,,,,
REG1,PRC_TSL,ELCRERNW00,ANNUAL,,,,
REG1,PRC_TSL,ELCTECOA00,ANNUAL,,,,
REG1,PRC_TSL,ELCTEGAS00,ANNUAL,,,,
REG1,PRC_TSL,ELCTENUC00,ANNUAL,,,,
REG1,PRC_TSL,ELCTEOIL00,ANNUAL,,,,
REG1,PRC_TSL,ELCTNCOA00,ANNUAL,,,,
REG1,PRC_TSL,ELCTNGAS00,ANNUAL,,,,
REG1,PRC_TSL,ELCTNOIL00,ANNUAL,,,,
REG1,PRC_TSL,EXPCOA1,ANNUAL,,,,
REG1,PRC_TSL,EXPGAS1,ANNUAL,,,,
REG1,PRC_TSL,EXPOIL1,ANNUAL,,,,
REG1,PRC_TSL,FTE-ELCCOA,ANNUAL,,,,
REG1,PRC_TSL,FTE-ELCGAS,ANNUAL,,,,
REG1,PRC_TSL,FTE-ELCNUC,ANNUAL,,,,
REG1,PRC_TSL,FTE-ELCOIL,ANNUAL,,,,
REG1,PRC_TSL,FTE-ELCRNW,ANNUAL,,,,
REG1,PRC_TSL,FTE-RSDGAS,ANNUAL,,,,
REG1,PRC_TSL,FTE-TRAOIL,ANNUAL,,,,
REG1,PRC_TSL,IMPCOA1,ANNUAL,,,,
REG1,PRC_TSL,IMPDEMZ,ANNUAL,,,,
REG1,PRC_TSL,IMPGAS1,ANNUAL,,,,
REG1,PRC_TSL,IMPMATZ,ANNUAL,,,,
REG1,PRC_TSL,IMPNRGZ,ANNUAL,,,,
REG1,PRC_TSL,IMPOIL1,ANNUAL,,,,
REG1,PRC_TSL,MINCOA1,ANNUAL,,,,
REG1,PRC_TSL,MINCOA2,ANNUAL,,,,
REG1,PRC_TSL,MINCOA3,ANNUAL,,,,
REG1,PRC_TSL,MINGAS1,ANNUAL,,,,
REG1,PRC_TSL,MINGAS2,ANNUAL,,,,
REG1,PRC_TSL,MINGAS3,ANNUAL,,,,
REG1,PRC_TSL,MINNUC1,ANNUAL,,,,
REG1,PRC_TSL,MINOIL1,ANNUAL,,,,
REG1,PRC_TSL,MINOIL2,ANNUAL,,,,
REG1,PRC_TSL,MINOIL3,ANNUAL,,,,
REG1,PRC_TSL,MINRNW1,ANNUAL,,,,
REG1,PRC_TSL,ROTEGAS,ANNUAL,,,,
REG1,PRC_TSL,ROTNGAS,ANNUAL,,,,
REG1,PRC_TSL,TOTEOIL,ANNUAL,,,,
REG1,PRC_TSL,TOTNOIL,ANNUAL,,,,
REG1,PRC_ACTUNT,DTPSCOA,TPSCOA,PJ,,,
REG1,PRC_ACTUNT,DTPSELC,TPSELC,PJ,,,
REG1,PRC_ACTUNT,ELCRERNW00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTECOA00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTEGAS00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTENUC00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTEOIL00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTNCOA00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTNGAS00,ELC,PJ,,,
REG1,PRC_ACTUNT,ELCTNOIL00,ELC,PJ,,,
REG1,PRC_ACTUNT,EXPCOA1,COA,PJ,,,
REG1,PRC_ACTUNT,EXPGAS1,GAS,PJ,,,
REG1,PRC_ACTUNT,EXPOIL1,OIL,PJ,,,
REG1,PRC_ACTUNT,FTE-ELCCOA,ELCCOA,PJ,,,
REG1,PRC_ACTUNT,FTE-ELCGAS,ELCGAS,PJ,,,
REG1,PRC_ACTUNT,FTE-ELCNUC,ELCNUC,PJ,,,
REG1,PRC_ACTUNT,FTE-ELCOIL,ELCOIL,PJ,,,
REG1,PRC_ACTUNT,FTE-ELCRNW,ELCRNW,PJ,,,
REG1,PRC_ACTUNT,FTE-RSDGAS,RSDGAS,PJ,,,
REG1,PRC_ACTUNT,FTE-TRAOIL,TRAOIL,PJ,,,
REG1,PRC_ACTUNT,IMPCOA1,COA,PJ,,,
REG1,PRC_ACTUNT,IMPDEMZ,DEM,PJ,,,
REG1,PRC_ACTUNT,IMPGAS1,GAS,PJ,,,
REG1,PRC_ACTUNT,IMPMATZ,MAT,Mt,,,
REG1,PRC_ACTUNT,IMPNRGZ,NRG,PJ,,,
REG1,PRC_ACTUNT,IMPOIL1,OIL,PJ,,,
REG1,PRC_ACTUNT,MINCOA1,COA,PJ,,,
REG1,PRC_ACTUNT,MINCOA2,COA,PJ,,,
REG1,PRC_ACTUNT,MINCOA3,COA,PJ,,,
REG1,PRC_ACTUNT,MINGAS1,GAS,PJ,,,
REG1,PRC_ACTUNT,MINGAS2,GAS,PJ,,,
REG1,PRC_ACTUNT,MINGAS3,GAS,PJ,,,
REG1,PRC_ACTUNT,MINNUC1,NUC,PJ,,,
REG1,PRC_ACTUNT,MINOIL1,OIL,PJ,,,
REG1,PRC_ACTUNT,MINOIL2,OIL,PJ,,,
REG1,PRC_ACTUNT,MINOIL3,OIL,PJ,,,
REG1,PRC_ACTUNT,MINRNW1,RNW,PJ,,,
REG1,PRC_ACTUNT,ROTEGAS,DROT,PJ,,,
REG1,PRC_ACTUNT,ROTNGAS,DROT,PJ,,,
REG1,PRC_ACTUNT,TOTEOIL,DTD1,PJ,,,
REG1,PRC_ACTUNT,TOTNOIL,DTD1,PJ,,,
REG1,TOP,DTPSCOA,COA,IN,,,
REG1,TOP,DTPSCOA,TPSCOA,OUT,,,
REG1,TOP,DTPSELC,ELC,IN,,,
REG1,TOP,DTPSELC,TPSELC,OUT,,,
REG1,TOP,ELCRERNW00,ELC,OUT,,,
REG1,TOP,ELCRERNW00,ELCRNW,IN,,,
REG1,TOP,ELCTECOA00,ELC,OUT,,,
REG1,TOP,ELCTECOA00,ELCCO2,OUT,,,
REG1,TOP,ELCTECOA00,ELCCOA,IN,,,
REG1,TOP,ELCTEGAS00,ELC,OUT,,,
REG1,TOP,ELCTEGAS00,ELCCO2,OUT,,,
REG1,TOP,ELCTEGAS00,ELCGAS,IN,,,
REG1,TOP,ELCTENUC00,ELC,OUT,,,
REG1,TOP,ELCTENUC00,ELCNUC,IN,,,
REG1,TOP,ELCTEOIL00,ELC,OUT,,,
REG1,TOP,ELCTEOIL00,ELCCO2,OUT,,,
REG1,TOP,ELCTEOIL00,ELCOIL,IN,,,
REG1,TOP,ELCTNCOA00,ELC,OUT,,,
REG1,TOP,ELCTNCOA00,ELCCO2,OUT,,,
REG1,TOP,ELCTNCOA00,ELCCOA,IN,,,
REG1,TOP,ELCTNGAS00,ELC,OUT,,,
REG1,TOP,ELCTNGAS00,ELCCO2,OUT,,,
REG1,TOP,ELCTNGAS00,ELCGAS,IN,,,
REG1,TOP,ELCTNOIL00,ELC,OUT,,,
REG1,TOP,ELCTNOIL00,ELCCO2,OUT,,,
REG1,TOP,ELCTNOIL00,ELCOIL,IN,,,
REG1,TOP,EXPCOA1,COA,IN,,,
REG1,TOP,EXPGAS1,GAS,IN,,,
REG1,TOP,EXPOIL1,OIL,IN,,,
REG1,TOP,FTE-ELCCOA,COA,IN,,,
REG1,TOP,FTE-ELCCOA,ELCCOA,OUT,,,
REG1,TOP,FTE-ELCGAS,ELCGAS,OUT,,,
REG1,TOP,FTE-ELCGAS,GAS,IN,,,
REG1,TOP,FTE-ELCNUC,ELCNUC,OUT,,,
REG1,TOP,FTE-ELCNUC,NUC,IN,,,
REG1,TOP,FTE-ELCOIL,ELCOIL,OUT,,,
REG1,TOP,FTE-ELCOIL,OIL,IN,,,
REG1,TOP,FTE-ELCRNW,ELCRNW,OUT,,,
REG1,TOP,FTE-ELCRNW,RNW,IN,,,
REG1,TOP,FTE-RSDGAS,GAS,IN,,,
REG1,TOP,FTE-RSDGAS,RSDGAS,OUT,,,
REG1,TOP,FTE-TRAOIL,OIL,IN,,,
REG1,TOP,FTE-TRAOIL,TRAOIL,OUT,,,
REG1,TOP,IMPCOA1,COA,OUT,,,
REG1,TOP,IMPGAS1,GAS,OUT,,,
REG1,TOP,IMPOIL1,OIL,OUT,,,
REG1,TOP,MINCOA1,COA,OUT,,,
REG1,TOP,MINCOA2,COA,OUT,,,
REG1,TOP,MINCOA3,COA,OUT,,,
REG1,TOP,MINGAS1,GAS,OUT,,,
REG1,TOP,MINGAS2,GAS,OUT,,,
REG1,TOP,MINGAS3,GAS,OUT,,,
REG1,TOP,MINNUC1,NUC,OUT,,,
REG1,TOP,MINOIL1,OIL,OUT,,,
REG1,TOP,MINOIL2,OIL,OUT,,,
REG1,TOP,MINOIL3,OIL,OUT,,,
REG1,TOP,MINRNW1,RNW,OUT,,,
REG1,TOP,ROTEGAS,DROT,OUT,,,
REG1,TOP,ROTEGAS,RSDCO2,OUT,,,
REG1,TOP,ROTEGAS,RSDGAS,IN,,,
REG1,TOP,ROTNGAS,DROT,OUT,,,
REG1,TOP,ROTNGAS,RSDCO2,OUT,,,
REG1,TOP,ROTNGAS,RSDGAS,IN,,,
REG1,TOP,TOTEOIL,DTD1,OUT,,,
REG1,TOP,TOTEOIL,TRACO2,OUT,,,
REG1,TOP,TOTEOIL,TRAOIL,IN,,,
REG1,TOP,TOTNOIL,DTD1,OUT,,,
REG1,TOP,TOTNOIL,TRACO2,OUT,,,
REG1,TOP,TOTNOIL,TRAOIL,IN,,,
IMPEXP,TOP_IRE,COA,REG1,COA,IMPCOA1,,
IMPEXP,TOP_IRE,COA,REG1,COA,IMPNRGZ,,
IMPEXP,TOP_IRE,DROT,REG1,DROT,IMPDEMZ,,
IMPEXP,TOP_IRE,DTD1,REG1,DTD1,IMPDEMZ,,
IMPEXP,TOP_IRE,ELC,REG1,ELC,IMPNRGZ,,
IMPEXP,TOP_IRE,ELCCOA,REG1,ELCCOA,IMPNRGZ,,
IMPEXP,TOP_IRE,ELCGAS,REG1,ELCGAS,IMPNRGZ,,
IMPEXP,TOP_IRE,ELCNUC,REG1,ELCNUC,IMPNRGZ,,
IMPEXP,TOP_IRE,ELCOIL,REG1,ELCOIL,IMPNRGZ,,
IMPEXP,TOP_IRE,ELCRNW,REG1,ELCRNW,IMPNRGZ,,
IMPEXP,TOP_IRE,GAS,REG1,GAS,IMPGAS1,,
IMPEXP,TOP_IRE,GAS,REG1,GAS,IMPNRGZ,,
IMPEXP,TOP_IRE,NUC,REG1,NUC,IMPNRGZ,,
IMPEXP,TOP_IRE,OIL,REG1,OIL,IMPNRGZ,,
IMPEXP,TOP_IRE,OIL,REG1,OIL,IMPOIL1,,
IMPEXP,TOP_IRE,RNW,REG1,RNW,IMPNRGZ,,
IMPEXP,TOP_IRE,RSDGAS,REG1,RSDGAS,IMPNRGZ,,
IMPEXP,TOP_IRE,TPSCOA,REG1,TPSCOA,IMPDEMZ,,
IMPEXP,TOP_IRE,TPSELC,REG1,TPSELC,IMPDEMZ,,
IMPEXP,TOP_IRE,TRAOIL,REG1,TRAOIL,IMPNRGZ,,
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA1,,
MINRNW,TOP_IRE,COA,REG1,COA,MINCOA2,,
