component_1,table_type,component_2,component_3,component_4,component_5,value
GW,UNITS_CAP,,,,,
PJA,UNITS_CAP,,,,,
PJ,UNITS_ACT,,,,,
ELCTNCOA00,PRC,,,,,
ELCTNGAS00,PRC,,,,,
ELCTNOIL00,PRC,,,,,
ROTNGAS,PRC,,,,,
TOTNOIL,PRC,,,,,
REG1,PRC_MAP,DMD,ROTNGAS,,,
REG1,PRC_MAP,DMD,TOTNOIL,,,
REG1,PRC_MAP,ELE,ELCTNCOA00,,,
REG1,PRC_MAP,ELE,ELCTNGAS00,,,
REG1,PRC_MAP,ELE,ELCTNOIL00,,,
REG2,PRC_MAP,DMD,ROTNGAS,,,
REG2,PRC_MAP,DMD,TOTNOIL,,,
REG2,PRC_MAP,ELE,ELCTNCOA00,,,
REG2,PRC_MAP,ELE,ELCTNGAS00,,,
REG2,PRC_MAP,ELE,ELCTNOIL00,,,
REG1,PRC_TSL,ELCTNCOA00,SEASON,,,
REG1,PRC_TSL,ELCTNGAS00,DAYNITE,,,
REG1,PRC_TSL,ELCTNOIL00,DAYNITE,,,
REG1,PRC_TSL,ROTNGAS,ANNUAL,,,
REG1,PRC_TSL,TOTNOIL,ANNUAL,,,
REG2,PRC_TSL,ELCTNCOA00,SEASON,,,
REG2,PRC_TSL,ELCTNGAS00,DAYNITE,,,
REG2,PRC_TSL,ELCTNOIL00,DAYNITE,,,
REG2,PRC_TSL,ROTNGAS,ANNUAL,,,
REG2,PRC_TSL,TOTNOIL,ANNUAL,,,
REG1,PRC_ACTUNT,ELCTNCOA00,ELC,PJ,,
REG1,PRC_ACTUNT,ELCTNGAS00,ELC,PJ,,
REG1,PRC_ACTUNT,ELCTNOIL00,ELC,PJ,,
REG1,PRC_ACTUNT,ROTNGAS,DROT,PJ,,
REG1,PRC_ACTUNT,TOTNOIL,DTD1,PJ,,
REG2,PRC_ACTUNT,ELCTNCOA00,ELC,PJ,,
REG2,PRC_ACTUNT,ELCTNGAS00,ELC,PJ,,
REG2,PRC_ACTUNT,ELCTNOIL00,ELC,PJ,,
REG2,PRC_ACTUNT,ROTNGAS,DROT,PJ,,
REG2,PRC_ACTUNT,TOTNOIL,DTD1,PJ,,
REG1,TOP,ELCTNCOA00,ELC,OUT,,
REG1,TOP,ELCTNCOA00,ELCCO2,OUT,,
REG1,TOP,ELCTNCOA00,ELCCOA,IN,,
REG1,TOP,ELCTNGAS00,ELC,OUT,,
REG1,TOP,ELCTNGAS00,ELCCO2,OUT,,
REG1,TOP,ELCTNGAS00,ELCGAS,IN,,
REG1,TOP,ELCTNOIL00,ELC,OUT,,
REG1,TOP,ELCTNOIL00,ELCCO2,OUT,,
REG1,TOP,ELCTNOIL00,ELCOIL,IN,,
REG1,TOP,ROTNGAS,DROT,OUT,,
REG1,TOP,ROTNGAS,RSDCO2,OUT,,
REG1,TOP,ROTNGAS,RSDGAS,IN,,
REG1,TOP,TOTNOIL,DTD1,OUT,,
REG1,TOP,TOTNOIL,TRACO2,OUT,,
REG1,TOP,TOTNOIL,TRAOIL,IN,,
REG2,TOP,ELCTNCOA00,ELC,OUT,,
REG2,TOP,ELCTNCOA00,ELCCO2,OUT,,
REG2,TOP,ELCTNCOA00,ELCCOA,IN,,
REG2,TOP,ELCTNGAS00,ELC,OUT,,
REG2,TOP,ELCTNGAS00,ELCCO2,OUT,,
REG2,TOP,ELCTNGAS00,ELCGAS,IN,,
REG2,TOP,ELCTNOIL00,ELC,OUT,,
REG2,TOP,ELCTNOIL00,ELCCO2,OUT,,
REG2,TOP,ELCTNOIL00,ELCOIL,IN,,
REG2,TOP,ROTNGAS,DROT,OUT,,
REG2,TOP,ROTNGAS,RSDCO2,OUT,,
REG2,TOP,ROTNGAS,RSDGAS,IN,,
REG2,TOP,TOTNOIL,DTD1,OUT,,
REG2,TOP,TOTNOIL,TRACO2,OUT,,
REG2,TOP,TOTNOIL,TRAOIL,IN,,
REG1,PRC_VINT,ELCTNGAS00,,,,
REG2,PRC_VINT,ELCTNGAS00,,,,
REG1,PRC_DESC,ELCTNCOA00' 'Power Plants Existing00 - Solid Fuels,,,,
REG1,PRC_DESC,ELCTNGAS00' 'Power Plants Existing00 - Natural Gas,,,,
REG1,PRC_DESC,ELCTNOIL00' 'Power Plants Existing00 - Crude oil and Petroleum Products,,,,
REG1,PRC_DESC,ROTNGAS' 'Demand Technologies Residential Sector -  New Other - Natural Gas,,,,
REG1,PRC_DESC,TOTNOIL' 'Demand Technologies Transport Sector - New Demand 1 - Crude oil and Petroleum Products,,,,
REG2,PRC_DESC,ELCTNCOA00' 'Power Plants Existing00 - Solid Fuels,,,,
REG2,PRC_DESC,ELCTNGAS00' 'Power Plants Existing00 - Natural Gas,,,,
REG2,PRC_DESC,ELCTNOIL00' 'Power Plants Existing00 - Crude oil and Petroleum Products,,,,
REG2,PRC_DESC,ROTNGAS' 'Demand Technologies Residential Sector -  New Other - Natural Gas,,,,
REG2,PRC_DESC,TOTNOIL' 'Demand Technologies Transport Sector - New Demand 1 - Crude oil and Petroleum Products,,,,
REG1,ACT_EFF,2005,ELCTNCOA00,ACT,ANNUAL,0.42
REG1,ACT_EFF,2005,ELCTNOIL00,ACT,ANNUAL,0.3
REG1,ACT_EFF,2005,ROTNGAS,ACT,ANNUAL,1.2
REG1,ACT_EFF,2005,TOTNOIL,ACT,ANNUAL,1.1
REG1,ACT_EFF,2006,ELCTNGAS00,ACT,ANNUAL,0.5
REG1,ACT_EFF,2010,ELCTNGAS00,ACT,ANNUAL,0.51
REG1,ACT_EFF,2015,ELCTNGAS00,ACT,ANNUAL,0.52
REG1,ACT_EFF,2020,ELCTNGAS00,ACT,ANNUAL,0.55
REG2,ACT_EFF,2005,ELCTNCOA00,ACT,ANNUAL,0.42
REG2,ACT_EFF,2005,ELCTNOIL00,ACT,ANNUAL,0.3
REG2,ACT_EFF,2005,ROTNGAS,ACT,ANNUAL,1.2
REG2,ACT_EFF,2005,TOTNOIL,ACT,ANNUAL,1.1
REG2,ACT_EFF,2006,ELCTNGAS00,ACT,ANNUAL,0.5
REG2,ACT_EFF,2010,ELCTNGAS00,ACT,ANNUAL,0.51
REG2,ACT_EFF,2015,ELCTNGAS00,ACT,ANNUAL,0.52
REG2,ACT_EFF,2020,ELCTNGAS00,ACT,ANNUAL,0.55
REG1,NCAP_AFA,2005,ELCTNCOA00,UP,,0.85
REG1,NCAP_AFA,2005,ELCTNGAS00,UP,,0.85
REG1,NCAP_AFA,2005,ELCTNOIL00,UP,,0.85
REG1,NCAP_AFA,2005,ROTNGAS,UP,,0.95
REG1,NCAP_AFA,2005,TOTNOIL,UP,,0.9
REG2,NCAP_AFA,2005,ELCTNCOA00,UP,,0.85
REG2,NCAP_AFA,2005,ELCTNGAS00,UP,,0.85
REG2,NCAP_AFA,2005,ELCTNOIL00,UP,,0.85
REG2,NCAP_AFA,2005,ROTNGAS,UP,,0.95
REG2,NCAP_AFA,2005,TOTNOIL,UP,,0.9
REG1,NCAP_FOM,2005,ELCTNCOA00,MEuro05,,35.0
REG1,NCAP_FOM,2005,ELCTNGAS00,MEuro05,,30.0
REG1,NCAP_FOM,2005,ELCTNOIL00,MEuro05,,15.0
REG1,NCAP_FOM,2005,ROTNGAS,MEuro05,,0.24
REG1,NCAP_FOM,2005,TOTNOIL,MEuro05,,0.2
REG2,NCAP_FOM,2005,ELCTNCOA00,MEuro05,,35.0
REG2,NCAP_FOM,2005,ELCTNGAS00,MEuro05,,30.0
REG2,NCAP_FOM,2005,ELCTNOIL00,MEuro05,,15.0
REG2,NCAP_FOM,2005,ROTNGAS,MEuro05,,0.24
REG2,NCAP_FOM,2005,TOTNOIL,MEuro05,,0.2
REG1,NCAP_START,ELCTNCOA00,,,,2006.0
REG1,NCAP_START,ELCTNGAS00,,,,2006.0
REG1,NCAP_START,ELCTNOIL00,,,,2005.0
REG1,NCAP_START,ROTNGAS,,,,2006.0
REG1,NCAP_START,TOTNOIL,,,,2006.0
REG2,NCAP_START,ELCTNCOA00,,,,2006.0
REG2,NCAP_START,ELCTNGAS00,,,,2006.0
REG2,NCAP_START,ELCTNOIL00,,,,2005.0
REG2,NCAP_START,ROTNGAS,,,,2006.0
REG2,NCAP_START,TOTNOIL,,,,2006.0
REG1,PRC_CAPACT,ELCTNCOA00,,,,31.536
REG1,PRC_CAPACT,ELCTNGAS00,,,,31.536
REG1,PRC_CAPACT,ELCTNOIL00,,,,31.536
REG2,PRC_CAPACT,ELCTNCOA00,,,,31.536
REG2,PRC_CAPACT,ELCTNGAS00,,,,31.536
REG2,PRC_CAPACT,ELCTNOIL00,,,,31.536
