component_1,component_2,component_3,component_4,value,table_type,component_5,component_6,component_7
REG1,2005,IMPDEMZ,MEuro05,8888.0,ACT_COST,,,
REG1,2005,IMPMATZ,MEuro05,2222.0,ACT_COST,,,
REG1,2005,IMPNRGZ,MEuro05,2222.0,ACT_COST,,,
REG2,2005,IMPDEMZ,MEuro05,8888.0,ACT_COST,,,
REG2,2005,IMPMATZ,MEuro05,2222.0,ACT_COST,,,
REG2,2005,IMPNRGZ,MEuro05,2222.0,ACT_COST,,,
REG1,0,FTE-ELCOIL,DSL,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG1,0,FTE-ELCOIL,HFO,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG1,0,FTE-ELCOIL,LPG,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG1,0,FTE-ELCOIL,OPP,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG1,0,REFEOIL00,DSL,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,GSL,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,HFO,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,KER,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,LPG,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,NAP,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG1,0,REFEOIL00,OPP,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,FTE-ELCOIL,DSL,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG2,0,FTE-ELCOIL,HFO,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG2,0,FTE-ELCOIL,LPG,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG2,0,FTE-ELCOIL,OPP,5.0,FLO_SHAR,FTE-ELCOIL_NRGI,ANNUAL,UP
REG2,0,REFEOIL00,DSL,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,GSL,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,HFO,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,KER,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,LPG,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,NAP,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
REG2,0,REFEOIL00,OPP,5.0,FLO_SHAR,REFEOIL00_NRGO,ANNUAL,UP
