component_1,table_type,component_2,component_3,component_4,component_5,value
000_UNITS,UNITS_CAP,,,,,
GW,UNITS_CAP,,,,,
PJA,UNITS_CAP,,,,,
BPKM,UNITS_ACT,,,,,
PJ,UNITS_ACT,,,,,
REG1,COM_GMAP,TCANDSL1_DEMO,DTCAR,,,
REG1,COM_GMAP,TCANELC1_DEMO,DTCAR,,,
REG1,COM_GMAP,TCANGAS1_DEMO,DTCAR,,,
REG1,COM_GMAP,TCANGSL1_DEMO,DTCAR,,,
REG1,COM_GMAP,TCANLPG1_DEMO,DTCAR,,,
REG1,COM_GMAP,TCARNBIO1_DEMO,DTCAR,,,
REG1,COM_GMAP,TPUBNBIO1_DEMO,DTPUB,,,
REG1,COM_GMAP,TPUNDSL1_DEMO,DTPUB,,,
REG1,COM_GMAP,TPUNELC1_DEMO,DTPUB,,,
REG1,COM_GMAP,TPUNGAS1_DEMO,DTPUB,,,
REG1,COM_GMAP,TPUNGSL1_DEMO,DTPUB,,,
REG1,COM_GMAP,TPUNLPG1_DEMO,DTPUB,,,
REG2,COM_GMAP,TCANDSL1_DEMO,DTCAR,,,
REG2,COM_GMAP,TCANELC1_DEMO,DTCAR,,,
REG2,COM_GMAP,TCANGAS1_DEMO,DTCAR,,,
REG2,COM_GMAP,TCANGSL1_DEMO,DTCAR,,,
REG2,COM_GMAP,TCANLPG1_DEMO,DTCAR,,,
REG2,COM_GMAP,TCARNBIO1_DEMO,DTCAR,,,
REG2,COM_GMAP,TPUBNBIO1_DEMO,DTPUB,,,
REG2,COM_GMAP,TPUNDSL1_DEMO,DTPUB,,,
REG2,COM_GMAP,TPUNELC1_DEMO,DTPUB,,,
REG2,COM_GMAP,TPUNGAS1_DEMO,DTPUB,,,
REG2,COM_GMAP,TPUNGSL1_DEMO,DTPUB,,,
REG2,COM_GMAP,TPUNLPG1_DEMO,DTPUB,,,
CAPNELC1,PRC,,,,,
COTNBIO1,PRC,,,,,
COTNCOA1,PRC,,,,,
COTNELC1,PRC,,,,,
COTNGAS1,PRC,,,,,
COTNOIL1,PRC,,,,,
CSHNBIO1,PRC,,,,,
CSHNCOA1,PRC,,,,,
CSHNELC1,PRC,,,,,
CSHNGAS1,PRC,,,,,
CSHNOIL1,PRC,,,,,
CSHNSOL1,PRC,,,,,
ELCNNNUC01,PRC,,,,,
ELCRNBIO01,PRC,,,,,
ELCRNHYD01,PRC,,,,,
ELCRNSOL01,PRC,,,,,
ELCRNWIN01,PRC,,,,,
ELCTNCOA01,PRC,,,,,
ELCTNGAS01,PRC,,,,,
ELCTNOIL01,PRC,,,,,
RAPNELC1,PRC,,,,,
ROTNBIO1,PRC,,,,,
ROTNCOA1,PRC,,,,,
ROTNELC1,PRC,,,,,
ROTNGAS1,PRC,,,,,
ROTNOIL1,PRC,,,,,
RSHNBIO1,PRC,,,,,
RSHNCOA1,PRC,,,,,
RSHNELC1,PRC,,,,,
RSHNGAS1,PRC,,,,,
RSHNOIL1,PRC,,,,,
RSHNSOL1,PRC,,,,,
TCANDSL1,PRC,,,,,
TCANELC1,PRC,,,,,
TCANGAS1,PRC,,,,,
TCANGSL1,PRC,,,,,
TCANLPG1,PRC,,,,,
TCARNBIO1,PRC,,,,,
TPUBNBIO1,PRC,,,,,
TPUNDSL1,PRC,,,,,
TPUNELC1,PRC,,,,,
TPUNGAS1,PRC,,,,,
TPUNGSL1,PRC,,,,,
TPUNLPG1,PRC,,,,,
REG1,PRC_MAP,DMD,CAPNELC1,,,
REG1,PRC_MAP,DMD,COTNBIO1,,,
REG1,PRC_MAP,DMD,COTNCOA1,,,
REG1,PRC_MAP,DMD,COTNELC1,,,
REG1,PRC_MAP,DMD,COTNGAS1,,,
REG1,PRC_MAP,DMD,COTNOIL1,,,
REG1,PRC_MAP,DMD,CSHNBIO1,,,
REG1,PRC_MAP,DMD,CSHNCOA1,,,
REG1,PRC_MAP,DMD,CSHNELC1,,,
REG1,PRC_MAP,DMD,CSHNGAS1,,,
REG1,PRC_MAP,DMD,CSHNOIL1,,,
REG1,PRC_MAP,DMD,CSHNSOL1,,,
REG1,PRC_MAP,DMD,RAPNELC1,,,
REG1,PRC_MAP,DMD,ROTNBIO1,,,
REG1,PRC_MAP,DMD,ROTNCOA1,,,
REG1,PRC_MAP,DMD,ROTNELC1,,,
REG1,PRC_MAP,DMD,ROTNGAS1,,,
REG1,PRC_MAP,DMD,ROTNOIL1,,,
REG1,PRC_MAP,DMD,RSHNBIO1,,,
REG1,PRC_MAP,DMD,RSHNCOA1,,,
REG1,PRC_MAP,DMD,RSHNELC1,,,
REG1,PRC_MAP,DMD,RSHNGAS1,,,
REG1,PRC_MAP,DMD,RSHNOIL1,,,
REG1,PRC_MAP,DMD,RSHNSOL1,,,
REG1,PRC_MAP,DMD,TCANDSL1,,,
REG1,PRC_MAP,DMD,TCANELC1,,,
REG1,PRC_MAP,DMD,TCANGAS1,,,
REG1,PRC_MAP,DMD,TCANGSL1,,,
REG1,PRC_MAP,DMD,TCANLPG1,,,
REG1,PRC_MAP,DMD,TCARNBIO1,,,
REG1,PRC_MAP,DMD,TPUBNBIO1,,,
REG1,PRC_MAP,DMD,TPUNDSL1,,,
REG1,PRC_MAP,DMD,TPUNELC1,,,
REG1,PRC_MAP,DMD,TPUNGAS1,,,
