component_1,table_type,component_2,component_3,component_4,component_5,component_6,component_7,component_8,value
UCU,UNITS_COM,,,,,,,,
REG1,COM_TMAP,NRG,UC_GrowthOfNewCars-,,,,,,
REG1,COM_TMAP,NRG,UC_GrowthOfNewCars_,,,,,,
REG2,COM_TMAP,NRG,UC_GrowthOfNewCars-,,,,,,
REG2,COM_TMAP,NRG,UC_GrowthOfNewCars_,,,,,,
REG1,COM_UNIT,UC_GrowthOfNewCars-,UCU,,,,,,
REG1,COM_UNIT,UC_GrowthOfNewCars_,UCU,,,,,,
REG2,COM_UNIT,UC_GrowthOfNewCars-,UCU,,,,,,
REG2,COM_UNIT,UC_GrowthOfNewCars_,UCU,,,,,,
IMPEXP,TOP_IRE,UC_GrowthOfNewCars-,REG1,UC_GrowthOfNewCars-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,UC_GrowthOfNewCars-,REG2,UC_GrowthOfNewCars-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,UC_GrowthOfNewCars_,REG1,UC_GrowthOfNewCars_,IMPNRGZ,,,,
IMPEXP,TOP_IRE,UC_GrowthOfNewCars_,REG2,UC_GrowthOfNewCars_,IMPNRGZ,,,,
REG1,COM_DESC,UC_GrowthOfNewCars-' 'Negative dummy var for UC: UC_GrowthOfNewCars,,,,,,,
REG1,COM_DESC,UC_GrowthOfNewCars_' 'Positive dummy var for UC: UC_GrowthOfNewCars,,,,,,,
REG2,COM_DESC,UC_GrowthOfNewCars-' 'Negative dummy var for UC: UC_GrowthOfNewCars,,,,,,,
REG2,COM_DESC,UC_GrowthOfNewCars_' 'Positive dummy var for UC: UC_GrowthOfNewCars,,,,,,,
REG1,UC_R_EACH,UC_GrowthOfNewCars,,,,,,,
REG2,UC_R_EACH,UC_GrowthOfNewCars,,,,,,,
REG1,UC_ATTR,UC_GrowthOfNewCars,LHS,CAP,GROWTH,,,,
REG2,UC_ATTR,UC_GrowthOfNewCars,LHS,CAP,GROWTH,,,,
UC_GrowthOfNewCars,UC_IRE,LHS,REG1,2005,IMPNRGZ,UC_GrowthOfNewCars-,ANNUAL,IMP,-1.0
UC_GrowthOfNewCars,UC_IRE,LHS,REG1,2005,IMPNRGZ,UC_GrowthOfNewCars_,ANNUAL,IMP,1.0
UC_GrowthOfNewCars,UC_IRE,LHS,REG2,2005,IMPNRGZ,UC_GrowthOfNewCars-,ANNUAL,IMP,-1.0
UC_GrowthOfNewCars,UC_IRE,LHS,REG2,2005,IMPNRGZ,UC_GrowthOfNewCars_,ANNUAL,IMP,1.0
