component_1,table_type,component_2,component_3,component_4,component_5,value,component_6,component_7,component_8
IMPEXP,ALL_REG,,,,,,,,
MINRNW,ALL_REG,,,,,,,,
REG1,ALL_REG,,,,,,,,
REG2,ALL_REG,,,,,,,,
REG1' 'REG1,REG,,,,,,,,
REG2' 'REG2,REG,,,,,,,,
MEuro05,CUR,,,,,,,,
1960 '1960,DATAYEAR,,,,,,,,
1980 '1980,DATAYEAR,,,,,,,,
2005 '2005,DATAYEAR,,,,,,,,
2006 '2006,DATAYEAR,,,,,,,,
2007 '2007,DATAYEAR,,,,,,,,
2008 '2008,DATAYEAR,,,,,,,,
2009 '2009,DATAYEAR,,,,,,,,
2010 '2010,DATAYEAR,,,,,,,,
2011 '2011,DATAYEAR,,,,,,,,
2012 '2012,DATAYEAR,,,,,,,,
2013 '2013,DATAYEAR,,,,,,,,
2014 '2014,DATAYEAR,,,,,,,,
2015 '2015,DATAYEAR,,,,,,,,
2016 '2016,DATAYEAR,,,,,,,,
2017 '2017,DATAYEAR,,,,,,,,
2018 '2018,DATAYEAR,,,,,,,,
2019 '2019,DATAYEAR,,,,,,,,
2020 '2020,DATAYEAR,,,,,,,,
2021 '2021,DATAYEAR,,,,,,,,
2022 '2022,DATAYEAR,,,,,,,,
2023 '2023,DATAYEAR,,,,,,,,
2024 '2024,DATAYEAR,,,,,,,,
2025 '2025,DATAYEAR,,,,,,,,
2026 '2026,DATAYEAR,,,,,,,,
2027 '2027,DATAYEAR,,,,,,,,
2028 '2028,DATAYEAR,,,,,,,,
2029 '2029,DATAYEAR,,,,,,,,
2030 '2030,DATAYEAR,,,,,,,,
2031 '2031,DATAYEAR,,,,,,,,
2032 '2032,DATAYEAR,,,,,,,,
2033 '2033,DATAYEAR,,,,,,,,
2034 '2034,DATAYEAR,,,,,,,,
2035 '2035,DATAYEAR,,,,,,,,
2036 '2036,DATAYEAR,,,,,,,,
2037 '2037,DATAYEAR,,,,,,,,
2038 '2038,DATAYEAR,,,,,,,,
2039 '2039,DATAYEAR,,,,,,,,
2040 '2040,DATAYEAR,,,,,,,,
2041 '2041,DATAYEAR,,,,,,,,
2042 '2042,DATAYEAR,,,,,,,,
2043 '2043,DATAYEAR,,,,,,,,
2044 '2044,DATAYEAR,,,,,,,,
2045 '2045,DATAYEAR,,,,,,,,
2046 '2046,DATAYEAR,,,,,,,,
2047 '2047,DATAYEAR,,,,,,,,
2048 '2048,DATAYEAR,,,,,,,,
2049 '2049,DATAYEAR,,,,,,,,
2050 '2050,DATAYEAR,,,,,,,,
1960 '1960,MODLYEAR,,,,,,,,
1980 '1980,MODLYEAR,,,,,,,,
2005 '2005,MODLYEAR,,,,,,,,
2006 '2006,MODLYEAR,,,,,,,,
2010 '2010,MODLYEAR,,,,,,,,
2015 '2015,MODLYEAR,,,,,,,,
2020 '2020,MODLYEAR,,,,,,,,
2025 '2025,MODLYEAR,,,,,,,,
2030 '2030,MODLYEAR,,,,,,,,
2035 '2035,MODLYEAR,,,,,,,,
2040 '2040,MODLYEAR,,,,,,,,
2045 '2045,MODLYEAR,,,,,,,,
2050 '2050,MODLYEAR,,,,,,,,
1960 '1960,PASTYEAR,,,,,,,,
1980 '1980,PASTYEAR,,,,,,,,
REG1,TS_GROUP,ANNUAL,ANNUAL,,,,,,
REG1,TS_GROUP,DAYNITE,SD,,,,,,
REG1,TS_GROUP,DAYNITE,SN,,,,,,
REG1,TS_GROUP,DAYNITE,WD,,,,,,
REG1,TS_GROUP,DAYNITE,WN,,,,,,
REG1,TS_GROUP,SEASON,S,,,,,,
REG1,TS_GROUP,SEASON,W,,,,,,
REG2,TS_GROUP,ANNUAL,ANNUAL,,,,,,
REG2,TS_GROUP,DAYNITE,SD,,,,,,
REG2,TS_GROUP,DAYNITE,SN,,,,,,
REG2,TS_GROUP,DAYNITE,WD,,,,,,
REG2,TS_GROUP,DAYNITE,WN,,,,,,
REG2,TS_GROUP,SEASON,S,,,,,,
REG2,TS_GROUP,SEASON,W,,,,,,
REG1,TS_MAP,S,SD,,,,,,
REG1,TS_MAP,S,SN,,,,,,
REG1,TS_MAP,W,WD,,,,,,
REG1,TS_MAP,W,WN,,,,,,
REG2,TS_MAP,S,SD,,,,,,
REG2,TS_MAP,S,SN,,,,,,
REG2,TS_MAP,W,WD,,,,,,
REG2,TS_MAP,W,WN,,,,,,
BPKM,UNITS,,,,,,,,
MT,UNITS,,,,,,,,
PJ,UNITS,,,,,,,,
BPkm,UNITS_COM,,,,,,,,
kt,UNITS_COM,,,,,,,,
PJ,UNITS_COM,,,,,,,,
000_UNITS,UNITS_CAP,,,,,,,,
GW,UNITS_CAP,,,,,,,,
PJA,UNITS_CAP,,,,,,,,
BPKM,UNITS_ACT,,,,,,,,
MT,UNITS_ACT,,,,,,,,
PJ,UNITS_ACT,,,,,,,,
MEuro05,UNITS_MONY,,,,,,,,
AGRBIO,COM_GRP,,,,,,,,
AGRCO2,COM_GRP,,,,,,,,
AGRCOA,COM_GRP,,,,,,,,
AGRELC,COM_GRP,,,,,,,,
AGRGAS,COM_GRP,,,,,,,,
AGROIL,COM_GRP,,,,,,,,
AU_NUC_MaxCAP-,COM_GRP,,,,,,,,
AU_NUC_MaxCAP_,COM_GRP,,,,,,,,
BIO,COM_GRP,,,,,,,,
COA,COM_GRP,,,,,,,,
COMBIO,COM_GRP,,,,,,,,
COMCO2,COM_GRP,,,,,,,,
COMCOA,COM_GRP,,,,,,,,
COMELC,COM_GRP,,,,,,,,
COMGAS,COM_GRP,,,,,,,,
COMOIL,COM_GRP,,,,,,,,
COMSOL,COM_GRP,,,,,,,,
DAOT,COM_GRP,,,,,,,,
DCAP,COM_GRP,,,,,,,,
DCOT,COM_GRP,,,,,,,,
DCSH,COM_GRP,,,,,,,,
DIDM1,COM_GRP,,,,,,,,
DRAP,COM_GRP,,,,,,,,
DROT,COM_GRP,,,,,,,,
DRSH,COM_GRP,,,,,,,,
DSL,COM_GRP,,,,,,,,
DTCAR,COM_GRP,,,,,,,,
DTPUB,COM_GRP,,,,,,,,
ELC,COM_GRP,,,,,,,,
ELCBIO,COM_GRP,,,,,,,,
ELCCO2,COM_GRP,,,,,,,,
ELCCOA,COM_GRP,,,,,,,,
ELCGAS,COM_GRP,,,,,,,,
ELCHYD,COM_GRP,,,,,,,,
ELCNUC,COM_GRP,,,,,,,,
ELCOIL,COM_GRP,,,,,,,,
ELCSOL,COM_GRP,,,,,,,,
ELCWIN,COM_GRP,,,,,,,,
GAS,COM_GRP,,,,,,,,
GSL,COM_GRP,,,,,,,,
HFO,COM_GRP,,,,,,,,
HYD,COM_GRP,,,,,,,,
INDBIO,COM_GRP,,,,,,,,
INDCO2,COM_GRP,,,,,,,,
INDCOA,COM_GRP,,,,,,,,
INDELC,COM_GRP,,,,,,,,
INDGAS,COM_GRP,,,,,,,,
INDOIL,COM_GRP,,,,,,,,
KER,COM_GRP,,,,,,,,
LPG,COM_GRP,,,,,,,,
NAP,COM_GRP,,,,,,,,
NUC,COM_GRP,,,,,,,,
OIL,COM_GRP,,,,,,,,
OPP,COM_GRP,,,,,,,,
RSDBIO,COM_GRP,,,,,,,,
RSDCO2,COM_GRP,,,,,,,,
RSDCOA,COM_GRP,,,,,,,,
RSDELC,COM_GRP,,,,,,,,
RSDGAS,COM_GRP,,,,,,,,
RSDOIL,COM_GRP,,,,,,,,
RSDSOL,COM_GRP,,,,,,,,
SOL,COM_GRP,,,,,,,,
TRABIO,COM_GRP,,,,,,,,
TRACO2,COM_GRP,,,,,,,,
TRADSL,COM_GRP,,,,,,,,
TRAELC,COM_GRP,,,,,,,,
TRAGAS,COM_GRP,,,,,,,,
TRAGSL,COM_GRP,,,,,,,,
TRALPG,COM_GRP,,,,,,,,
UC_RNW-PP_LOW-,COM_GRP,,,,,,,,
UC_RNW-PP_LOW_,COM_GRP,,,,,,,,
WIN,COM_GRP,,,,,,,,
ELC,COM,,,,,,,,
GAS,COM,,,,,,,,
REG1,COM_GMAP,AOTETOT_NRGI,AGRBIO,,,,,,
REG1,COM_GMAP,AOTETOT_NRGI,AGRCOA,,,,,,
REG1,COM_GMAP,AOTETOT_NRGI,AGRELC,,,,,,
REG1,COM_GMAP,AOTETOT_NRGI,AGRGAS,,,,,,
REG1,COM_GMAP,AOTETOT_NRGI,AGROIL,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,DSL,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,GSL,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,HFO,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,KER,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,LPG,,,,,,
REG1,COM_GMAP,FTE-AGROIL_NRGI,OPP,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,DSL,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,GSL,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,HFO,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,KER,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,LPG,,,,,,
REG1,COM_GMAP,FTE-COMOIL_NRGI,OPP,,,,,,
REG1,COM_GMAP,FTE-ELCOIL_NRGI,DSL,,,,,,
REG1,COM_GMAP,FTE-ELCOIL_NRGI,HFO,,,,,,
REG1,COM_GMAP,FTE-ELCOIL_NRGI,LPG,,,,,,
REG1,COM_GMAP,FTE-ELCOIL_NRGI,OPP,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,DSL,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,GSL,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,HFO,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,KER,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,LPG,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,NAP,,,,,,
REG1,COM_GMAP,FTE-INDOIL_NRGI,OPP,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,DSL,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,GSL,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,HFO,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,KER,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,LPG,,,,,,
REG1,COM_GMAP,FTE-RSDOIL_NRGI,OPP,,,,,,
REG1,COM_GMAP,IDM1ETOT_NRGI,INDBIO,,,,,,
REG1,COM_GMAP,IDM1ETOT_NRGI,INDCOA,,,,,,
REG1,COM_GMAP,IDM1ETOT_NRGI,INDELC,,,,,,
REG1,COM_GMAP,IDM1ETOT_NRGI,INDGAS,,,,,,
REG1,COM_GMAP,IDM1ETOT_NRGI,INDOIL,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGI,OIL,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,DSL,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,GSL,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,HFO,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,KER,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,LPG,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,NAP,,,,,,
REG1,COM_GMAP,REFEOIL00_NRGO,OPP,,,,,,
REG1,COM_GMAP,TCAREBIO_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TCAREDSL_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TCAREELC_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TCAREGAS_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TCAREGSL_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TCARELPG_DEMO,DTCAR,,,,,,
REG1,COM_GMAP,TPUBEBIO_DEMO,DTPUB,,,,,,
REG1,COM_GMAP,TPUBEDSL_DEMO,DTPUB,,,,,,
REG1,COM_GMAP,TPUBEELC_DEMO,DTPUB,,,,,,
REG1,COM_GMAP,TPUBEGAS_DEMO,DTPUB,,,,,,
REG1,COM_GMAP,TPUBEGSL_DEMO,DTPUB,,,,,,
REG1,COM_GMAP,TPUBELPG_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,AOTETOT_NRGI,AGRBIO,,,,,,
REG2,COM_GMAP,AOTETOT_NRGI,AGRCOA,,,,,,
REG2,COM_GMAP,AOTETOT_NRGI,AGRELC,,,,,,
REG2,COM_GMAP,AOTETOT_NRGI,AGRGAS,,,,,,
REG2,COM_GMAP,AOTETOT_NRGI,AGROIL,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,DSL,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,GSL,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,HFO,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,KER,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,LPG,,,,,,
REG2,COM_GMAP,FTE-AGROIL_NRGI,OPP,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,DSL,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,GSL,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,HFO,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,KER,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,LPG,,,,,,
REG2,COM_GMAP,FTE-COMOIL_NRGI,OPP,,,,,,
REG2,COM_GMAP,FTE-ELCOIL_NRGI,DSL,,,,,,
REG2,COM_GMAP,FTE-ELCOIL_NRGI,HFO,,,,,,
REG2,COM_GMAP,FTE-ELCOIL_NRGI,LPG,,,,,,
REG2,COM_GMAP,FTE-ELCOIL_NRGI,OPP,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,DSL,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,GSL,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,HFO,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,KER,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,LPG,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,NAP,,,,,,
REG2,COM_GMAP,FTE-INDOIL_NRGI,OPP,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,DSL,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,GSL,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,HFO,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,KER,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,LPG,,,,,,
REG2,COM_GMAP,FTE-RSDOIL_NRGI,OPP,,,,,,
REG2,COM_GMAP,IDM1ETOT_NRGI,INDBIO,,,,,,
REG2,COM_GMAP,IDM1ETOT_NRGI,INDCOA,,,,,,
REG2,COM_GMAP,IDM1ETOT_NRGI,INDELC,,,,,,
REG2,COM_GMAP,IDM1ETOT_NRGI,INDGAS,,,,,,
REG2,COM_GMAP,IDM1ETOT_NRGI,INDOIL,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGI,OIL,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,DSL,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,GSL,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,HFO,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,KER,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,LPG,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,NAP,,,,,,
REG2,COM_GMAP,REFEOIL00_NRGO,OPP,,,,,,
REG2,COM_GMAP,TCAREBIO_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TCAREDSL_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TCAREELC_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TCAREGAS_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TCAREGSL_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TCARELPG_DEMO,DTCAR,,,,,,
REG2,COM_GMAP,TPUBEBIO_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,TPUBEDSL_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,TPUBEELC_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,TPUBEGAS_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,TPUBEGSL_DEMO,DTPUB,,,,,,
REG2,COM_GMAP,TPUBELPG_DEMO,DTPUB,,,,,,
REG1,COM_TMAP,DEM,DAOT,,,,,,
REG1,COM_TMAP,DEM,DCAP,,,,,,
REG1,COM_TMAP,DEM,DCOT,,,,,,
REG1,COM_TMAP,DEM,DCSH,,,,,,
REG1,COM_TMAP,DEM,DIDM1,,,,,,
REG1,COM_TMAP,DEM,DRAP,,,,,,
REG1,COM_TMAP,DEM,DROT,,,,,,
REG1,COM_TMAP,DEM,DRSH,,,,,,
REG1,COM_TMAP,DEM,DTCAR,,,,,,
REG1,COM_TMAP,DEM,DTPUB,,,,,,
REG1,COM_TMAP,ENV,AGRCO2,,,,,,
REG1,COM_TMAP,ENV,COMCO2,,,,,,
REG1,COM_TMAP,ENV,ELCCO2,,,,,,
REG1,COM_TMAP,ENV,INDCO2,,,,,,
REG1,COM_TMAP,ENV,RSDCO2,,,,,,
REG1,COM_TMAP,ENV,TRACO2,,,,,,
REG1,COM_TMAP,NRG,AGRBIO,,,,,,
REG1,COM_TMAP,NRG,AGRCOA,,,,,,
REG1,COM_TMAP,NRG,AGRELC,,,,,,
REG1,COM_TMAP,NRG,AGRGAS,,,,,,
REG1,COM_TMAP,NRG,AGROIL,,,,,,
REG1,COM_TMAP,NRG,BIO,,,,,,
REG1,COM_TMAP,NRG,COA,,,,,,
REG1,COM_TMAP,NRG,COMBIO,,,,,,
REG1,COM_TMAP,NRG,COMCOA,,,,,,
REG1,COM_TMAP,NRG,COMELC,,,,,,
REG1,COM_TMAP,NRG,COMGAS,,,,,,
REG1,COM_TMAP,NRG,COMOIL,,,,,,
REG1,COM_TMAP,NRG,COMSOL,,,,,,
REG1,COM_TMAP,NRG,DSL,,,,,,
REG1,COM_TMAP,NRG,ELC,,,,,,
REG1,COM_TMAP,NRG,ELCBIO,,,,,,
REG1,COM_TMAP,NRG,ELCCOA,,,,,,
REG1,COM_TMAP,NRG,ELCGAS,,,,,,
REG1,COM_TMAP,NRG,ELCHYD,,,,,,
REG1,COM_TMAP,NRG,ELCNUC,,,,,,
REG1,COM_TMAP,NRG,ELCOIL,,,,,,
REG1,COM_TMAP,NRG,ELCSOL,,,,,,
REG1,COM_TMAP,NRG,ELCWIN,,,,,,
REG1,COM_TMAP,NRG,GAS,,,,,,
REG1,COM_TMAP,NRG,GSL,,,,,,
REG1,COM_TMAP,NRG,HFO,,,,,,
REG1,COM_TMAP,NRG,HYD,,,,,,
REG1,COM_TMAP,NRG,INDBIO,,,,,,
REG1,COM_TMAP,NRG,INDCOA,,,,,,
REG1,COM_TMAP,NRG,INDELC,,,,,,
REG1,COM_TMAP,NRG,INDGAS,,,,,,
REG1,COM_TMAP,NRG,INDOIL,,,,,,
REG1,COM_TMAP,NRG,KER,,,,,,
REG1,COM_TMAP,NRG,LPG,,,,,,
REG1,COM_TMAP,NRG,NAP,,,,,,
REG1,COM_TMAP,NRG,NUC,,,,,,
REG1,COM_TMAP,NRG,OIL,,,,,,
