component_1,table_type,component_2,component_3,component_4,component_5,component_6,component_7,component_8,value
Mt,UNITS_COM,,,,,,,,
PJ,UNITS_COM,,,,,,,,
MT-Y,UNITS_CAP,,,,,,,,
PJA,UNITS_CAP,,,,,,,,
MT,UNITS_ACT,,,,,,,,
PJ,UNITS_ACT,,,,,,,,
REG1,COM_GMAP,IDMIIS_NRGI,INDELC,,,,,,
REG1,COM_GMAP,IDMIIS_NRGI,INDGAS,,,,,,
REG1,COM_GMAP,IDMIIS_NRGI,INDOIL,,,,,,
REG1,COM_GMAP,ITIISBOF_NRGI,INDELC,,,,,,
REG1,COM_GMAP,ITIISBOF_NRGI,INDGAS,,,,,,
REG1,COM_GMAP,ITIISBOF_NRGI,INDOXY,,,,,,
REG1,COM_GMAP,ITIISIBF_NRGI,INDCOA,,,,,,
REG1,COM_GMAP,ITIISIBF_NRGI,INDELC,,,,,,
REG1,COM_GMAP,ITIISIBF_NRGI,INDOIL,,,,,,
REG1,COM_GMAP,ITIISIBF_NRGI,INDOXY,,,,,,
REG1,COM_GMAP,ITIISIN_NRGI,INDCOA,,,,,,
REG1,COM_GMAP,ITIISIN_NRGI,INDELC,,,,,,
REG2,COM_GMAP,IDMIIS_NRGI,INDELC,,,,,,
REG2,COM_GMAP,IDMIIS_NRGI,INDGAS,,,,,,
REG2,COM_GMAP,IDMIIS_NRGI,INDOIL,,,,,,
REG2,COM_GMAP,ITIISBOF_NRGI,INDELC,,,,,,
REG2,COM_GMAP,ITIISBOF_NRGI,INDGAS,,,,,,
REG2,COM_GMAP,ITIISBOF_NRGI,INDOXY,,,,,,
REG2,COM_GMAP,ITIISIBF_NRGI,INDCOA,,,,,,
REG2,COM_GMAP,ITIISIBF_NRGI,INDELC,,,,,,
REG2,COM_GMAP,ITIISIBF_NRGI,INDOIL,,,,,,
REG2,COM_GMAP,ITIISIBF_NRGI,INDOXY,,,,,,
REG2,COM_GMAP,ITIISIN_NRGI,INDCOA,,,,,,
REG2,COM_GMAP,ITIISIN_NRGI,INDELC,,,,,,
REG1,COM_TMAP,DEM,DIIS,,,,,,
REG1,COM_TMAP,MAT,IISIRO,,,,,,
REG1,COM_TMAP,MAT,IISORE,,,,,,
REG1,COM_TMAP,MAT,IISRST,,,,,,
REG1,COM_TMAP,MAT,IISSIN,,,,,,
REG1,COM_TMAP,NRG,INDOXY,,,,,,
REG2,COM_TMAP,DEM,DIIS,,,,,,
REG2,COM_TMAP,MAT,IISIRO,,,,,,
REG2,COM_TMAP,MAT,IISORE,,,,,,
REG2,COM_TMAP,MAT,IISRST,,,,,,
REG2,COM_TMAP,MAT,IISSIN,,,,,,
REG2,COM_TMAP,NRG,INDOXY,,,,,,
REG1,COM_UNIT,DIIS,Mt,,,,,,
REG1,COM_UNIT,IISIRO,Mt,,,,,,
REG1,COM_UNIT,IISORE,Mt,,,,,,
REG1,COM_UNIT,IISRST,Mt,,,,,,
REG1,COM_UNIT,IISSIN,Mt,,,,,,
REG1,COM_UNIT,INDOXY,PJ,,,,,,
REG2,COM_UNIT,DIIS,Mt,,,,,,
REG2,COM_UNIT,IISIRO,Mt,,,,,,
REG2,COM_UNIT,IISORE,Mt,,,,,,
REG2,COM_UNIT,IISRST,Mt,,,,,,
REG2,COM_UNIT,IISSIN,Mt,,,,,,
REG2,COM_UNIT,INDOXY,PJ,,,,,,
IDMIIS,PRC,,,,,,,,
ITIISBOF,PRC,,,,,,,,
ITIISIBF,PRC,,,,,,,,
ITIISIN,PRC,,,,,,,,
MINIISORE,PRC,,,,,,,,
MININDOXY,PRC,,,,,,,,
REG1,PRC_MAP,DMD,IDMIIS,,,,,,
REG1,PRC_MAP,IRE,MINIISORE,,,,,,
REG1,PRC_MAP,IRE,MININDOXY,,,,,,
REG1,PRC_MAP,PRE,ITIISBOF,,,,,,
REG1,PRC_MAP,PRE,ITIISIBF,,,,,,
REG1,PRC_MAP,PRE,ITIISIN,,,,,,
REG2,PRC_MAP,DMD,IDMIIS,,,,,,
REG2,PRC_MAP,IRE,MINIISORE,,,,,,
REG2,PRC_MAP,IRE,MININDOXY,,,,,,
REG2,PRC_MAP,PRE,ITIISBOF,,,,,,
REG2,PRC_MAP,PRE,ITIISIBF,,,,,,
REG2,PRC_MAP,PRE,ITIISIN,,,,,,
REG1,PRC_TSL,IDMIIS,ANNUAL,,,,,,
REG1,PRC_TSL,ITIISBOF,ANNUAL,,,,,,
REG1,PRC_TSL,ITIISIBF,ANNUAL,,,,,,
REG1,PRC_TSL,ITIISIN,ANNUAL,,,,,,
REG1,PRC_TSL,MINIISORE,ANNUAL,,,,,,
REG1,PRC_TSL,MININDOXY,ANNUAL,,,,,,
REG2,PRC_TSL,IDMIIS,ANNUAL,,,,,,
REG2,PRC_TSL,ITIISBOF,ANNUAL,,,,,,
REG2,PRC_TSL,ITIISIBF,ANNUAL,,,,,,
REG2,PRC_TSL,ITIISIN,ANNUAL,,,,,,
REG2,PRC_TSL,MINIISORE,ANNUAL,,,,,,
REG2,PRC_TSL,MININDOXY,ANNUAL,,,,,,
REG1,PRC_ACTUNT,IDMIIS,DIIS,MT,,,,,
REG1,PRC_ACTUNT,ITIISBOF,IISRST,MT,,,,,
REG1,PRC_ACTUNT,ITIISIBF,IISIRO,MT,,,,,
REG1,PRC_ACTUNT,ITIISIN,IISSIN,MT,,,,,
REG1,PRC_ACTUNT,MINIISORE,IISORE,PJ,,,,,
REG1,PRC_ACTUNT,MININDOXY,INDOXY,PJ,,,,,
REG2,PRC_ACTUNT,IDMIIS,DIIS,MT,,,,,
REG2,PRC_ACTUNT,ITIISBOF,IISRST,MT,,,,,
REG2,PRC_ACTUNT,ITIISIBF,IISIRO,MT,,,,,
REG2,PRC_ACTUNT,ITIISIN,IISSIN,MT,,,,,
REG2,PRC_ACTUNT,MINIISORE,IISORE,PJ,,,,,
REG2,PRC_ACTUNT,MININDOXY,INDOXY,PJ,,,,,
REG1,TOP,IDMIIS,DIIS,OUT,,,,,
REG1,TOP,IDMIIS,IISRST,IN,,,,,
REG1,TOP,IDMIIS,INDELC,IN,,,,,
REG1,TOP,IDMIIS,INDGAS,IN,,,,,
REG1,TOP,IDMIIS,INDOIL,IN,,,,,
REG1,TOP,ITIISBOF,IISIRO,IN,,,,,
REG1,TOP,ITIISBOF,IISRST,OUT,,,,,
REG1,TOP,ITIISBOF,INDELC,IN,,,,,
REG1,TOP,ITIISBOF,INDGAS,IN,,,,,
REG1,TOP,ITIISBOF,INDOXY,IN,,,,,
REG1,TOP,ITIISIBF,IISIRO,OUT,,,,,
REG1,TOP,ITIISIBF,IISSIN,IN,,,,,
REG1,TOP,ITIISIBF,INDCOA,IN,,,,,
REG1,TOP,ITIISIBF,INDELC,IN,,,,,
REG1,TOP,ITIISIBF,INDOIL,IN,,,,,
REG1,TOP,ITIISIBF,INDOXY,IN,,,,,
REG1,TOP,ITIISIN,IISORE,IN,,,,,
REG1,TOP,ITIISIN,IISSIN,OUT,,,,,
REG1,TOP,ITIISIN,INDCOA,IN,,,,,
REG1,TOP,ITIISIN,INDELC,IN,,,,,
REG1,TOP,MINIISORE,IISORE,OUT,,,,,
REG1,TOP,MININDOXY,INDOXY,OUT,,,,,
REG2,TOP,IDMIIS,DIIS,OUT,,,,,
REG2,TOP,IDMIIS,IISRST,IN,,,,,
REG2,TOP,IDMIIS,INDELC,IN,,,,,
REG2,TOP,IDMIIS,INDGAS,IN,,,,,
REG2,TOP,IDMIIS,INDOIL,IN,,,,,
REG2,TOP,ITIISBOF,IISIRO,IN,,,,,
REG2,TOP,ITIISBOF,IISRST,OUT,,,,,
REG2,TOP,ITIISBOF,INDELC,IN,,,,,
REG2,TOP,ITIISBOF,INDGAS,IN,,,,,
REG2,TOP,ITIISBOF,INDOXY,IN,,,,,
REG2,TOP,ITIISIBF,IISIRO,OUT,,,,,
REG2,TOP,ITIISIBF,IISSIN,IN,,,,,
REG2,TOP,ITIISIBF,INDCOA,IN,,,,,
REG2,TOP,ITIISIBF,INDELC,IN,,,,,
REG2,TOP,ITIISIBF,INDOIL,IN,,,,,
REG2,TOP,ITIISIBF,INDOXY,IN,,,,,
REG2,TOP,ITIISIN,IISORE,IN,,,,,
REG2,TOP,ITIISIN,IISSIN,OUT,,,,,
REG2,TOP,ITIISIN,INDCOA,IN,,,,,
REG2,TOP,ITIISIN,INDELC,IN,,,,,
REG2,TOP,MINIISORE,IISORE,OUT,,,,,
REG2,TOP,MININDOXY,INDOXY,OUT,,,,,
IMPEXP,TOP_IRE,DIIS,REG1,DIIS,IMPDEMZ,,,,
IMPEXP,TOP_IRE,DIIS,REG2,DIIS,IMPDEMZ,,,,
IMPEXP,TOP_IRE,IISIRO,REG1,IISIRO,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISIRO,REG2,IISIRO,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISORE,REG1,IISORE,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISORE,REG2,IISORE,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISRST,REG1,IISRST,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISRST,REG2,IISRST,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISSIN,REG1,IISSIN,IMPMATZ,,,,
IMPEXP,TOP_IRE,IISSIN,REG2,IISSIN,IMPMATZ,,,,
IMPEXP,TOP_IRE,INDOXY,REG1,INDOXY,IMPNRGZ,,,,
IMPEXP,TOP_IRE,INDOXY,REG2,INDOXY,IMPNRGZ,,,,
MINRNW,TOP_IRE,IISORE,REG1,IISORE,MINIISORE,,,,
MINRNW,TOP_IRE,IISORE,REG2,IISORE,MINIISORE,,,,
MINRNW,TOP_IRE,INDOXY,REG1,INDOXY,MININDOXY,,,,
MINRNW,TOP_IRE,INDOXY,REG2,INDOXY,MININDOXY,,,,
REG1,PRC_DESC,IDMIIS' 'Indusrial Iron&Steel Demand Technology,,,,,,,
REG1,PRC_DESC,ITIISBOF' 'Industrial Iron&Stell Oxygen Furnace,,,,,,,
REG1,PRC_DESC,ITIISIBF' 'Industrial Iron&Stell Iron Blast Furnace,,,,,,,
REG1,PRC_DESC,ITIISIN' 'Industrial Iron&Stell Sinter Productiion,,,,,,,
REG1,PRC_DESC,MINIISORE' 'Industrial Ore availability,,,,,,,
REG1,PRC_DESC,MININDOXY' 'Industrial Oxygen availability,,,,,,,
REG2,PRC_DESC,IDMIIS' 'Indusrial Iron&Steel Demand Technology,,,,,,,
REG2,PRC_DESC,ITIISBOF' 'Industrial Iron&Stell Oxygen Furnace,,,,,,,
REG2,PRC_DESC,ITIISIBF' 'Industrial Iron&Stell Iron Blast Furnace,,,,,,,
REG2,PRC_DESC,ITIISIN' 'Industrial Iron&Stell Sinter Productiion,,,,,,,
REG2,PRC_DESC,MINIISORE' 'Industrial Ore availability,,,,,,,
REG2,PRC_DESC,MININDOXY' 'Industrial Oxygen availability,,,,,,,
REG1,COM_DESC,DIIS' 'Demand Iron&Steel,,,,,,,
REG1,COM_DESC,IISIRO' 'Industrial Iron,,,,,,,
REG1,COM_DESC,IISORE' 'Industrial Ore,,,,,,,
REG1,COM_DESC,IISRST' 'Industrial Steel,,,,,,,
REG1,COM_DESC,IISSIN' 'Industrial Sinter,,,,,,,
REG1,COM_DESC,INDOXY' 'Industrial Oxygen,,,,,,,
REG2,COM_DESC,DIIS' 'Demand Iron&Steel,,,,,,,
REG2,COM_DESC,IISIRO' 'Industrial Iron,,,,,,,
REG2,COM_DESC,IISORE' 'Industrial Ore,,,,,,,
REG2,COM_DESC,IISRST' 'Industrial Steel,,,,,,,
REG2,COM_DESC,IISSIN' 'Industrial Sinter,,,,,,,
REG2,COM_DESC,INDOXY' 'Industrial Oxygen,,,,,,,
REG1,IRE_PRICE,2005,MINIISORE,IISORE,ANNUAL,REG1,IMP,MEuro05,50.0
REG1,IRE_PRICE,2005,MININDOXY,INDOXY,ANNUAL,REG1,IMP,MEuro05,2.0
REG2,IRE_PRICE,2005,MINIISORE,IISORE,ANNUAL,REG2,IMP,MEuro05,50.0
REG2,IRE_PRICE,2005,MININDOXY,INDOXY,ANNUAL,REG2,IMP,MEuro05,2.0
REG1,PRC_RESID,2005,IDMIIS,,,,,,100.0
REG1,PRC_RESID,2005,ITIISBOF,,,,,,100.0
REG1,PRC_RESID,2005,ITIISIBF,,,,,,100.0
REG1,PRC_RESID,2005,ITIISIN,,,,,,100.0
REG2,PRC_RESID,2005,IDMIIS,,,,,,100.0
REG2,PRC_RESID,2005,ITIISBOF,,,,,,100.0
REG2,PRC_RESID,2005,ITIISIBF,,,,,,100.0
REG2,PRC_RESID,2005,ITIISIN,,,,,,100.0
