component_1,table_type,component_2,component_3,component_4,component_5,component_6,component_7,component_8,value
UCU,UNITS_COM,,,,,,,,
REG1,COM_TMAP,NRG,AU_CO2_BND-,,,,,,
REG1,COM_TMAP,NRG,AU_CO2_BND_,,,,,,
REG2,COM_TMAP,NRG,AU_CO2_BND-,,,,,,
REG2,COM_TMAP,NRG,AU_CO2_BND_,,,,,,
REG1,COM_UNIT,AU_CO2_BND-,UCU,,,,,,
REG1,COM_UNIT,AU_CO2_BND_,UCU,,,,,,
REG2,COM_UNIT,AU_CO2_BND-,UCU,,,,,,
REG2,COM_UNIT,AU_CO2_BND_,UCU,,,,,,
IMPEXP,TOP_IRE,AU_CO2_BND-,REG1,AU_CO2_BND-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2_BND-,REG2,AU_CO2_BND-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2_BND_,REG1,AU_CO2_BND_,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2_BND_,REG2,AU_CO2_BND_,IMPNRGZ,,,,
REG1,COM_DESC,AU_CO2_BND-' 'Negative dummy var for UC: AU_CO2_BND,,,,,,,
REG1,COM_DESC,AU_CO2_BND_' 'Positive dummy var for UC: AU_CO2_BND,,,,,,,
REG2,COM_DESC,AU_CO2_BND-' 'Negative dummy var for UC: AU_CO2_BND,,,,,,,
REG2,COM_DESC,AU_CO2_BND_' 'Positive dummy var for UC: AU_CO2_BND,,,,,,,
REG1,UC_R_EACH,AU_CO2_BND,,,,,,,
REG2,UC_R_EACH,AU_CO2_BND,,,,,,,
AU_CO2_BND,UC_IRE,LHS,REG1,2005,IMPNRGZ,AU_CO2_BND-,ANNUAL,IMP,-1.0
AU_CO2_BND,UC_IRE,LHS,REG1,2005,IMPNRGZ,AU_CO2_BND_,ANNUAL,IMP,1.0
AU_CO2_BND,UC_IRE,LHS,REG2,2005,IMPNRGZ,AU_CO2_BND-,ANNUAL,IMP,-1.0
AU_CO2_BND,UC_IRE,LHS,REG2,2005,IMPNRGZ,AU_CO2_BND_,ANNUAL,IMP,1.0
