component_1,table_type,component_2,component_3,component_4,component_5,component_6,component_7,component_8,value
UCU,UNITS_COM,,,,,,,,
REG1,COM_TMAP,NRG,AU_CO2BND_AllRegions-,,,,,,
REG1,COM_TMAP,NRG,AU_CO2BND_AllRegions_,,,,,,
REG2,COM_TMAP,NRG,AU_CO2BND_AllRegions-,,,,,,
REG2,COM_TMAP,NRG,AU_CO2BND_AllRegions_,,,,,,
REG1,COM_UNIT,AU_CO2BND_AllRegions-,UCU,,,,,,
REG1,COM_UNIT,AU_CO2BND_AllRegions_,UCU,,,,,,
REG2,COM_UNIT,AU_CO2BND_AllRegions-,UCU,,,,,,
REG2,COM_UNIT,AU_CO2BND_AllRegions_,UCU,,,,,,
IMPEXP,TOP_IRE,AU_CO2BND_AllRegions-,REG1,AU_CO2BND_AllRegions-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2BND_AllRegions-,REG2,AU_CO2BND_AllRegions-,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2BND_AllRegions_,REG1,AU_CO2BND_AllRegions_,IMPNRGZ,,,,
IMPEXP,TOP_IRE,AU_CO2BND_AllRegions_,REG2,AU_CO2BND_AllRegions_,IMPNRGZ,,,,
REG1,COM_DESC,AU_CO2BND_AllRegions-' 'Negative dummy var for UC: AU_CO2BND_AllRegions,,,,,,,
REG1,COM_DESC,AU_CO2BND_AllRegions_' 'Positive dummy var for UC: AU_CO2BND_AllRegions,,,,,,,
REG2,COM_DESC,AU_CO2BND_AllRegions-' 'Negative dummy var for UC: AU_CO2BND_AllRegions,,,,,,,
REG2,COM_DESC,AU_CO2BND_AllRegions_' 'Positive dummy var for UC: AU_CO2BND_AllRegions,,,,,,,
REG1,UC_R_SUM,AU_CO2BND_AllRegions,,,,,,,
REG2,UC_R_SUM,AU_CO2BND_AllRegions,,,,,,,
AU_CO2BND_AllRegions,UC_IRE,LHS,REG1,2005,IMPNRGZ,AU_CO2BND_AllRegions-,ANNUAL,IMP,-1.0
AU_CO2BND_AllRegions,UC_IRE,LHS,REG1,2005,IMPNRGZ,AU_CO2BND_AllRegions_,ANNUAL,IMP,1.0
AU_CO2BND_AllRegions,UC_IRE,LHS,REG2,2005,IMPNRGZ,AU_CO2BND_AllRegions-,ANNUAL,IMP,-1.0
AU_CO2BND_AllRegions,UC_IRE,LHS,REG2,2005,IMPNRGZ,AU_CO2BND_AllRegions_,ANNUAL,IMP,1.0
